DATAFLOW,LAST UPDATE,freq,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2023,80.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2014,62.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2015,65.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2016,66.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2017,68.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2018,68.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2019,68.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2020,66.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2021,67.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2022,62.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Hungary,2023,57.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2014,104.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2015,108.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2016,112.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2017,111.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2018,110.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2019,107.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2020,103.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2021,108.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2022,105.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Ireland,2023,98.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2014,128.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2015,130.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2016,129.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2017,131.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2018,133.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2019,129.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2020,124.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2021,127.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2022,129.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Iceland,2023,125.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Italy,2014,82.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Italy,2015,84.8,,
