DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2021,16558.784,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2022,27833.210,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2023,25272.970,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2014,368710.348,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2015,394313.755,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2016,361878.210,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2017,371130.019,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2018,363497.754,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2019,366487.725,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2020,367046.553,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2021,394108.401,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,European Union - 27 countries (from 2020),2022,408980.892,,
